Date of Data,Code,Company Name,Price Adjustment Factor,Nikkei Industrial Classification,Sector
"2025/04/22","1332","NISSUI CORP.","1.0","Fishery","Consumer Goods"
"2025/04/22","1605","INPEX CORP.","0.4","Mining","Materials"
"2025/04/22","1721","COMSYS HOLDINGS CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1801","TAISEI CORP.","0.2","Construction","Capital Goods/Others"
"2025/04/22","1802","OBAYASHI CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1803","SHIMIZU CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1808","HASEKO CORP.","0.2","Construction","Capital Goods/Others"
"2025/04/22","1812","KAJIMA CORP.","0.5","Construction","Capital Goods/Others"
"2025/04/22","1925","DAIWA HOUSE IND. CO., LTD.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1928","SEKISUI HOUSE, LTD.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1963","JGC HOLDINGS CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","2002","NISSHIN SEIFUN GROUP INC.","1.0","Foods","Consumer Goods"
"2025/04/22","2269","MEIJI HOLDINGS CO., LTD.","0.4","Foods","Consumer Goods"
"2025/04/22","2282","NH FOODS LTD.","0.5","Foods","Consumer Goods"
"2025/04/22","2413","M3, INC.","2.4","Services","Consumer Goods"
"2025/04/22","2432","DENA CO., LTD.","0.3","Services","Consumer Goods"
"2025/04/22","2501","SAPPORO HOLDINGS LTD.","0.2","Foods","Consumer Goods"
"2025/04/22","2502","ASAHI GROUP HOLDINGS, LTD.","3.0","Foods","Consumer Goods"
"2025/04/22","2503","KIRIN HOLDINGS CO., LTD.","1.0","Foods","Consumer Goods"
"2025/04/22","2768","SOJITZ CORP.","0.1","Trading Companies","Materials"
"2025/04/22","2801","KIKKOMAN CORP.","5.0","Foods","Consumer Goods"
"2025/04/22","2802","AJINOMOTO CO., INC.","2.0","Foods","Consumer Goods"
"2025/04/22","2871","NICHIREI CORP.","1.0","Foods","Consumer Goods"
"2025/04/22","2914","JAPAN TOBACCO INC.","1.0","Foods","Consumer Goods"
"2025/04/22","3086","J.FRONT RETAILING CO., LTD.","0.5","Retail","Consumer Goods"
"2025/04/22","3092","ZOZO, INC.","3.0","Retail","Consumer Goods"
"2025/04/22","3099","ISETAN MITSUKOSHI HOLDINGS LTD.","1.0","Retail","Consumer Goods"
"2025/04/22","3289","TOKYU FUDOSAN HOLDINGS CORP.","1.0","Real Estate","Capital Goods/Others"
"2025/04/22","3382","SEVEN & I HOLDINGS CO., LTD.","3.0","Retail","Consumer Goods"
"2025/04/22","3401","TEIJIN LTD.","0.2","Textiles & Apparel","Materials"
"2025/04/22","3402","TORAY INDUSTRIES, INC.","1.0","Textiles & Apparel","Materials"
"2025/04/22","3405","KURARAY CO., LTD.","1.0","Chemicals","Materials"
"2025/04/22","3407","ASAHI KASEI CORP.","1.0","Chemicals","Materials"
"2025/04/22","3436","SUMCO CORP.","0.1","Nonferrous Metals","Materials"
"2025/04/22","3659","NEXON CO., LTD.","2.0","Services","Consumer Goods"
"2025/04/22","3861","OJI HOLDINGS CORP.","1.0","Pulp & Paper","Materials"
"2025/04/22","4004","RESONAC HOLDINGS CORP.","0.1","Chemicals","Materials"
"2025/04/22","4005","SUMITOMO CHEMICAL CO., LTD.","1.0","Chemicals","Materials"
"2025/04/22","4021","NISSAN CHEMICAL CORP.","1.0","Chemicals","Materials"
"2025/04/22","4042","TOSOH CORP.","0.5","Chemicals","Materials"
"2025/04/22","4043","TOKUYAMA CORP.","0.2","Chemicals","Materials"
"2025/04/22","4061","DENKA CO., LTD.","0.2","Chemicals","Materials"
"2025/04/22","4063","SHIN-ETSU CHEMICAL CO., LTD.","5.0","Chemicals","Materials"
"2025/04/22","4151","KYOWA KIRIN CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4183","MITSUI CHEMICALS, INC.","0.2","Chemicals","Materials"
"2025/04/22","4188","MITSUBISHI CHEMICAL GROUP CORP.","0.5","Chemicals","Materials"
"2025/04/22","4208","UBE CORP.","0.1","Chemicals","Materials"
"2025/04/22","4307","NOMURA RESEARCH INSTITUTE, LTD.","1.0","Services","Consumer Goods"
"2025/04/22","4324","DENTSU GROUP INC.","1.0","Services","Consumer Goods"
"2025/04/22","4385","MERCARI, INC.","1.0","Services","Consumer Goods"
"2025/04/22","4452","KAO CORP.","1.0","Chemicals","Materials"
"2025/04/22","4502","TAKEDA PHARMACEUTICAL CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4503","ASTELLAS PHARMA INC.","5.0","Pharmaceuticals","Technology"
"2025/04/22","4506","SUMITOMO PHARMA CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4507","SHIONOGI & CO., LTD.","3.0","Pharmaceuticals","Technology"
"2025/04/22","4519","CHUGAI PHARMACEUTICAL CO., LTD.","3.0","Pharmaceuticals","Technology"
"2025/04/22","4523","EISAI CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4543","TERUMO CORP.","8.0","Precision Instruments","Technology"
"2025/04/22","4568","DAIICHI SANKYO CO., LTD.","3.0","Pharmaceuticals","Technology"
"2025/04/22","4578","OTSUKA HOLDINGS CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4661","ORIENTAL LAND CO., LTD.","1.0","Services","Consumer Goods"
"2025/04/22","4689","LY CORP.","0.4","Services","Consumer Goods"
"2025/04/22","4704","TREND MICRO INC.","1.0","Services","Consumer Goods"
"2025/04/22","4751","CYBERAGENT, INC.","0.8","Services","Consumer Goods"
"2025/04/22","4755","RAKUTEN GROUP, INC.","1.0","Services","Consumer Goods"
"2025/04/22","4901","FUJIFILM HOLDINGS CORP.","3.0","Chemicals","Materials"
